,Country,City,Latitude,Longitude,Current Temp(c),Max Temp(c),Humidity (%),Cloudiness,Windspeed (km/h)
296,TZ,Tukuyu,-9.25,33.65,15.94,15.94,96,100,2.3760000000000003
297,CA,Matagami,49.7502,-77.6328,8.06,8.06,39,100,27.791999999999998
298,RO,Bistreț,43.9,23.5,14.73,14.73,81,77,5.076
299,IN,Pālkonda,18.6,83.75,27.67,27.67,76,21,1.548
300,HN,San Vicente Centenario,14.8833,-88.2833,25.63,25.63,83,82,1.08
301,PE,San Isidro,-12.1167,-77.05,16.77,16.77,88,40,16.668
302,PH,Getulio,10.747,122.666,27.29,27.29,81,84,17.532
303,ES,Tarifa,36.0139,-5.607,13.01,13.01,76,97,9.756
304,BR,Cruzeiro,-22.5761,-44.9628,18.93,18.93,97,34,3.024
305,BR,Juatuba,-19.9519,-44.3428,23.65,23.65,60,94,6.984
306,TZ,Ndungu,-4.3667,38.05,21.54,21.54,96,98,1.4400000000000002
307,DE,Wuppertal,51.2667,7.1833,9.36,10.98,87,98,6.264
308,IN,Shamsābād,27.0167,78.1333,29.41,29.41,15,0,7.524
309,RO,Băbiciu,44.0333,24.5667,14.68,14.68,83,84,6.156
310,IN,Dirba,30.0667,75.9833,26.39,26.39,20,1,10.620000000000001
311,TH,Ban Bung,18.3081,100.7044,25.95,25.95,68,15,3.9600000000000004
312,CO,Barranco de Loba,8.946,-74.1065,26.21,26.21,85,72,4.788
313,PH,Gammad,17.7104,121.7437,26.04,26.04,81,5,9.107999999999999
314,MX,San Pedro Arriba,19.4822,-99.5658,16.77,22.45,45,100,11.124
315,US,Falls Church,38.8823,-77.1711,23.2,25.94,57,75,22.212
316,HU,Bekes,46.75,21.0,11.66,11.66,90,67,10.728
317,PE,San Isidro,-12.1167,-77.05,16.77,16.77,88,40,16.668
318,IN,Kīl Bhuvanagiri,11.4667,79.6333,27.07,27.07,80,52,6.84
319,US,Kingsport,36.5484,-82.5618,27.6,28.59,34,0,12.96
320,US,Bessemer,33.4018,-86.9544,27.09,28.1,51,0,9.251999999999999
321,GR,Tholos,40.9999,23.7823,12.51,12.51,77,62,1.9440000000000002
322,US,Woonsocket,42.0029,-71.5148,10.67,12.41,42,100,7.416
323,BE,De Haan,51.272,3.0429,8.98,10.03,71,20,25.92
324,CM,Bakong,5.0935,10.4852,18.47,18.47,94,100,2.7720000000000002
325,CL,Concepción,-36.827,-73.0498,11.89,11.89,82,20,12.96
326,UA,Kurisove,46.9695,30.9591,11.27,11.27,76,78,11.124
327,IN,Murbād,19.25,73.4,27.84,27.84,50,5,3.3120000000000003
328,RU,Zelenogorsk,56.1147,94.5861,-2.2,-2.2,78,97,13.824
329,UA,Nosivka,50.9315,31.5828,8.88,8.88,75,27,12.636
330,GR,Agios Thomas,38.2814,23.5882,15.6,18.18,65,0,11.124
331,PH,Anticala,9.0044,125.6453,26.21,26.21,86,91,4.248
332,IN,Pālamedu,10.1167,78.1167,26.64,26.64,80,65,5.867999999999999
333,BA,Prozor,43.8222,17.6092,7.1,7.1,94,18,11.088000000000001
334,CN,Suzhou,31.3114,120.6181,17.84,17.84,95,100,15.876000000000001
335,HU,Kelebia,46.1968,19.6166,10.76,10.76,74,83,6.228
336,RO,Luduş,46.4833,24.1,11.6,12.46,88,75,27.791999999999998
337,US,Millville,39.4021,-75.0393,15.04,18.32,58,0,18.503999999999998
338,IN,Someshwar,13.5,75.0667,24.82,24.82,94,25,1.512
339,SE,Boden,65.8252,21.6886,0.0,0.0,97,100,2.196
340,TZ,Chanika,-5.4167,38.0167,19.36,19.36,99,100,3.24
341,PH,Makir,7.0308,124.3042,25.73,25.73,89,51,4.644
342,NG,Fowa,8.9167,6.4,26.52,26.52,70,99,7.524
343,RU,Susanino,58.1461,41.5872,6.43,6.43,86,100,15.120000000000001
344,IT,Pachino,36.7186,15.0907,14.78,14.78,70,18,6.768
345,RO,Ciuperceni,43.7667,24.95,14.94,14.94,80,99,7.272
346,ID,Tambun,-6.2641,107.0712,28.28,28.86,85,78,2.16
347,US,Kansas City,39.0997,-94.5786,19.18,20.16,39,0,14.832
348,UA,Starokostiantyniv,49.7576,27.2034,11.08,11.08,79,28,25.524
349,RO,Blejoi,45.0,26.0167,13.95,13.99,77,99,5.328
350,BR,Brasília de Minas,-16.2064,-44.4333,25.31,25.31,40,81,11.34
351,IN,Thākurganj,26.45,88.1333,24.57,24.57,61,0,12.204
352,CN,Danjiangkou,32.5428,111.5086,18.28,18.28,83,100,15.947999999999999
353,IN,Fatwa,25.5167,85.3167,29.05,29.05,13,0,9.72
354,LT,Telšiai,55.9814,22.2472,5.52,5.52,97,100,13.572000000000001
